row,col,x,y,year,OGI,50PCGI,OGMx,Peak,OGD,50PCGD,OGMn,NumCycles,QA
81,1406,420058.5,3814429.5,2022,142.0,190.0,228.0,238.0,250.0,275.0,319.0,1.0,1.0
65,1432,420136.5,3814477.5,2022,131.0,205.0,229.0,238.0,249.0,275.0,308.0,1.0,1.0
64,1444,420172.5,3814480.5,2022,153.0,211.0,230.0,240.0,251.0,278.0,313.0,1.0,1.0
65,1479,420277.5,3814477.5,2022,132.0,187.0,226.0,236.0,247.0,273.0,307.0,1.0,2.0
76,1504,420352.5,3814444.5,2022,155.0,193.0,227.0,237.0,249.0,274.0,310.0,1.0,1.0
78,1537,420451.5,3814438.5,2022,155.0,202.0,227.0,236.0,247.0,273.0,301.0,1.0,1.0
75,1582,420586.5,3814447.5,2022,152.0,202.0,229.0,238.0,249.0,272.0,307.0,1.0,1.0
89,1602,420646.5,3814405.5,2022,150.0,209.0,230.0,239.0,250.0,273.0,304.0,1.0,2.0
80,1631,420733.5,3814432.5,2022,158.0,211.0,230.0,239.0,251.0,275.0,305.0,1.0,1.0
70,1674,420862.5,3814462.5,2022,155.0,205.0,229.0,239.0,251.0,273.0,298.0,1.0,1.0
67,1694,420922.5,3814471.5,2022,163.0,207.0,227.0,236.0,248.0,272.0,305.0,1.0,2.0
