row,col,x,y,year,kmeans_k3,kmeans_k4,kmeans_k5,kmeans_k6,kmeans_k7,kmeans_k8,kmeans_k9,kmeans_k10,kmeans_k11,kmeans_k12,kmeans_k13,kmeans_k14,kmeans_k15,kmeans_k16,kmeans_k17,kmeans_k18,kmeans_k19,kmeans_k20
80,83,416089.5,3814432.5,2022,0,3,4,1,5,4,2,0,1,5,9,7,10,1,0,8,2,2
66,90,416110.5,3814474.5,2022,0,3,4,3,3,4,3,7,10,10,11,9,7,12,9,11,14,16
84,147,416281.5,3814420.5,2022,0,0,1,1,5,2,2,0,1,5,9,13,11,1,0,8,2,2
80,167,416341.5,3814432.5,2022,0,0,4,1,5,2,2,0,1,5,9,13,11,1,0,8,2,2
72,180,416380.5,3814456.5,2022,0,0,1,1,5,2,2,0,1,5,9,13,11,1,0,8,2,2
80,232,416536.5,3814432.5,2022,0,0,4,1,5,4,2,0,1,5,9,7,10,1,0,8,2,2
74,249,416587.5,3814450.5,2022,0,0,4,1,5,2,2,0,1,5,9,13,11,1,0,8,2,2
63,288,416704.5,3814483.5,2022,0,3,4,3,3,4,3,7,10,2,6,5,2,5,11,2,10,5
77,306,416758.5,3814441.5,2022,0,3,4,3,3,4,3,7,10,2,6,5,2,5,11,2,10,5
60,336,416848.5,3814492.5,2022,0,3,4,3,3,4,3,7,10,2,6,5,2,5,11,2,10,5
89,368,416944.5,3814405.5,2022,0,3,4,3,3,4,3,7,10,2,6,5,2,5,11,2,10,5
81,399,417037.5,3814429.5,2022,0,3,4,3,3,4,3,7,10,2,6,5,2,5,11,2,10,5
77,449,417187.5,3814441.5,2022,0,3,4,3,3,4,3,7,10,2,6,5,2,5,11,2,10,5
82,460,417220.5,3814426.5,2022,0,3,4,3,3,4,3,7,10,2,6,5,2,5,11,2,10,5
88,490,417310.5,3814408.5,2022,0,3,4,3,3,4,3,7,10,2,6,5,2,5,11,2,10,5
83,527,417421.5,3814423.5,2022,0,3,4,3,3,4,3,7,10,2,6,5,2,5,11,2,10,5
71,567,417541.5,3814459.5,2022,0,0,4,3,4,2,5,9,4,10,0,9,7,3,9,10,4,1
60,594,417622.5,3814492.5,2022,0,0,1,4,4,2,5,9,4,9,0,4,12,9,1,0,3,15
61,626,417718.5,3814489.5,2022,0,0,4,3,3,4,3,9,4,10,0,9,7,3,9,10,4,1
70,639,417757.5,3814462.5,2022,0,3,4,3,3,4,3,7,10,2,6,5,2,5,11,2,10,5
85,670,417850.5,3814417.5,2022,0,3,4,3,3,4,3,7,10,2,6,5,2,5,11,2,10,5
75,694,417922.5,3814447.5,2022,0,3,4,3,3,4,3,7,10,2,6,5,2,5,11,2,10,5
60,724,418012.5,3814492.5,2022,1,0,2,4,4,1,2,3,9,1,12,0,4,10,16,5,1,11
75,767,418141.5,3814447.5,2022,1,2,2,0,4,1,8,3,9,1,12,0,4,10,16,5,1,11
61,786,418198.5,3814489.5,2022,0,0,1,4,4,2,5,9,9,1,12,0,4,10,16,5,1,11
89,834,418342.5,3814405.5,2022,1,2,1,4,0,6,8,3,5,4,5,10,3,4,12,12,6,17
61,840,418360.5,3814489.5,2022,1,2,2,0,0,6,8,3,9,1,12,0,4,10,16,5,1,11
69,879,418477.5,3814465.5,2022,1,0,1,4,4,2,8,3,9,1,12,0,4,10,16,5,1,11
77,922,418606.5,3814441.5,2022,0,0,4,3,4,2,5,9,9,10,0,9,7,3,9,10,4,1
64,958,418714.5,3814480.5,2022,1,0,2,4,4,2,8,3,9,1,12,0,4,10,16,5,1,11
80,977,418771.5,3814432.5,2022,0,0,1,4,4,2,5,9,4,10,0,9,7,3,9,11,14,16
87,1013,418879.5,3814411.5,2022,1,0,1,4,4,2,5,3,9,1,12,0,4,10,16,5,1,11
62,1035,418945.5,3814486.5,2022,1,0,1,4,4,2,8,3,9,1,12,0,4,10,16,5,1,11
82,1079,419077.5,3814426.5,2022,0,0,1,4,4,2,5,9,4,9,3,4,12,9,1,0,3,15
79,1088,419104.5,3814435.5,2022,0,0,1,4,4,2,5,9,4,9,0,4,7,9,1,0,14,16
77,1116,419188.5,3814441.5,2022,0,0,1,4,4,2,5,9,4,10,0,4,7,9,1,0,14,16
80,1147,419281.5,3814432.5,2022,1,0,1,4,4,2,5,9,9,1,12,0,4,10,16,5,1,11
76,1187,419401.5,3814444.5,2022,0,3,4,3,3,4,3,7,10,2,6,5,2,5,11,2,10,5
86,1206,419458.5,3814414.5,2022,0,2,4,1,5,1,2,0,9,1,12,0,13,10,5,5,13,19
60,1245,419575.5,3814492.5,2022,0,3,4,3,3,4,3,7,10,2,6,5,2,5,11,2,10,5
66,1273,419659.5,3814474.5,2022,1,2,2,0,0,1,4,3,9,1,12,0,4,10,16,5,1,11
79,1295,419725.5,3814435.5,2022,0,3,4,3,3,4,3,7,10,2,6,5,2,5,11,2,10,5
60,1344,419872.5,3814492.5,2022,0,3,4,1,5,4,2,0,1,5,9,11,13,1,0,8,2,2
89,1363,419929.5,3814405.5,2022,0,0,4,1,5,1,2,0,1,5,9,11,13,1,0,8,2,2
