row,col,x,y,year,gmm_full_k3,gmm_full_k4,gmm_full_k5,gmm_full_k6,gmm_full_k7,gmm_full_k8,gmm_full_k9,gmm_full_k10,gmm_full_k11,gmm_full_k12,gmm_full_k13,gmm_full_k14,gmm_full_k15,gmm_full_k16,gmm_full_k17,gmm_full_k18,gmm_full_k19,gmm_full_k20,gmm_diag_k3,gmm_diag_k4,gmm_diag_k5,gmm_diag_k6,gmm_diag_k7,gmm_diag_k8,gmm_diag_k9,gmm_diag_k10,gmm_diag_k11,gmm_diag_k12,gmm_diag_k13,gmm_diag_k14,gmm_diag_k15,gmm_diag_k16,gmm_diag_k17,gmm_diag_k18,gmm_diag_k19,gmm_diag_k20
30,6,595249.5,3516625.5,2023,0,0,2,5,2,6,8,1,0,10,8,7,1,0,9,4,7,16,1,1,0,1,4,0,5,4,9,10,2,6,12,3,12,2,7,17
38,32,595327.5,3516601.5,2023,2,1,3,5,2,7,1,7,3,8,8,1,8,15,9,4,7,16,2,3,2,1,4,0,5,4,9,7,2,10,3,10,2,2,8,11
58,81,595474.5,3516541.5,2023,2,1,3,5,2,7,1,7,3,8,10,1,8,15,5,7,7,16,2,3,2,2,3,0,5,4,9,7,6,10,14,10,2,2,8,11
39,115,595576.5,3516598.5,2023,2,1,3,5,2,7,1,7,3,3,10,1,8,15,5,7,7,16,2,3,2,1,4,0,5,4,9,7,2,10,3,10,2,2,8,11
34,136,595639.5,3516613.5,2023,2,1,3,5,2,7,1,7,3,8,8,1,8,15,5,7,7,16,2,3,2,1,4,0,5,4,9,7,2,10,3,10,2,2,8,11
50,155,595696.5,3516565.5,2023,2,1,2,5,2,7,1,7,3,8,8,5,7,15,9,4,7,16,2,3,2,1,4,0,5,4,9,7,2,10,3,10,2,2,8,11
30,187,595792.5,3516625.5,2023,2,1,3,5,2,7,1,7,3,8,8,1,8,15,9,4,7,16,2,3,2,1,4,0,5,4,9,7,2,10,3,10,2,2,8,11
39,231,595924.5,3516598.5,2023,2,1,3,5,2,7,1,7,3,8,10,1,8,15,5,7,7,16,2,3,2,1,4,0,5,4,9,7,2,10,3,10,2,2,8,11
35,245,595966.5,3516610.5,2023,2,1,3,1,2,7,1,7,3,3,10,1,8,15,5,7,7,16,2,3,2,1,3,0,5,4,9,7,2,10,14,10,2,2,8,11
42,294,596113.5,3516589.5,2023,2,1,3,5,2,7,1,7,3,3,10,1,8,15,5,7,7,16,2,3,2,1,4,0,5,4,9,7,2,10,3,10,2,2,8,11
50,304,596143.5,3516565.5,2023,0,0,2,5,2,4,6,5,4,7,3,5,7,15,9,5,16,16,1,1,4,5,6,6,7,7,8,10,7,11,12,3,4,8,16,17
58,333,596230.5,3516541.5,2023,0,0,2,5,2,4,6,5,0,8,8,7,7,0,9,4,8,16,1,1,0,3,6,7,8,8,5,6,0,0,2,13,10,11,15,9
56,371,596344.5,3516547.5,2023,0,0,2,5,2,4,6,5,0,8,8,5,7,15,9,4,16,16,1,1,0,1,6,0,7,0,9,10,2,6,12,3,12,8,7,17
39,391,596404.5,3516598.5,2023,0,0,2,5,2,4,6,5,4,8,8,5,7,15,9,5,16,16,1,1,4,5,6,7,8,8,5,6,0,0,12,13,12,13,14,18
52,445,596566.5,3516559.5,2023,2,1,2,5,2,7,1,7,3,8,8,1,7,15,9,4,7,16,2,3,2,1,4,0,5,4,9,7,2,10,3,10,2,2,7,11
37,453,596590.5,3516604.5,2023,2,1,2,5,2,7,1,5,3,8,8,5,7,15,9,4,7,16,2,3,2,1,4,0,5,4,9,7,2,10,3,10,2,2,7,11
57,490,596701.5,3516544.5,2023,2,1,2,5,2,7,1,5,3,8,8,5,7,15,9,4,7,16,2,3,2,1,4,0,5,4,9,7,2,10,3,10,2,2,8,11
45,538,596845.5,3516580.5,2023,2,1,3,5,2,7,1,7,3,8,10,1,8,15,5,7,7,16,2,3,2,2,3,0,5,4,9,7,6,10,14,10,2,2,8,11
