row,col,x,y,year,kmeans_k3,kmeans_k4,kmeans_k5,kmeans_k6,kmeans_k7,kmeans_k8,kmeans_k9,kmeans_k10,kmeans_k11,kmeans_k12,kmeans_k13,kmeans_k14,kmeans_k15,kmeans_k16,kmeans_k17,kmeans_k18,kmeans_k19,kmeans_k20
59,2871,603844.5,3516538.5,2023,0,0,4,2,4,4,3,6,2,7,1,2,9,15,7,16,11,6
47,2899,603928.5,3516574.5,2023,0,0,4,2,4,4,3,6,7,9,4,6,12,12,16,8,6,12
58,2920,603991.5,3516541.5,2023,0,0,4,2,4,4,3,6,2,7,1,6,12,3,15,0,15,5
42,2958,604105.5,3516589.5,2023,0,0,4,2,4,4,4,1,7,11,4,8,12,13,16,8,6,12
39,2986,604189.5,3516598.5,2023,0,0,4,2,4,4,3,6,7,9,8,6,12,12,16,8,6,12
40,3020,604291.5,3516595.5,2023,0,0,4,2,4,1,4,7,6,1,11,0,5,5,6,14,4,3
37,3049,604378.5,3516604.5,2023,0,0,4,4,0,7,6,7,6,1,11,0,5,5,3,1,4,3
53,3066,604429.5,3516556.5,2023,0,0,4,4,4,1,4,4,6,9,8,6,11,12,6,14,17,15
49,3105,604546.5,3516568.5,2023,1,0,4,4,0,7,6,7,6,1,11,0,5,5,3,1,4,3
58,3127,604612.5,3516541.5,2023,0,0,4,4,0,7,6,7,6,1,11,0,5,5,3,1,4,3
43,3176,604759.5,3516586.5,2023,1,0,0,4,2,6,4,8,9,3,4,10,12,2,16,8,6,12
35,3196,604819.5,3516610.5,2023,1,1,1,4,2,6,1,1,9,3,4,8,12,2,16,8,0,12
50,3226,604909.5,3516565.5,2023,1,1,1,0,1,0,8,1,5,8,10,8,10,2,0,12,13,11
51,3242,604957.5,3516562.5,2023,1,0,4,4,0,7,6,1,7,11,4,8,10,13,0,12,13,9
59,3297,605122.5,3516538.5,2023,1,1,1,0,1,0,8,0,5,8,10,13,10,14,0,6,16,11
59,3305,605146.5,3516538.5,2023,0,3,2,5,5,5,7,3,10,4,2,4,14,6,13,5,3,19
30,3332,605227.5,3516625.5,2023,0,3,2,5,5,5,7,3,10,4,2,4,14,6,13,5,3,19
84,2,595237.5,3516463.5,2023,0,0,0,1,6,1,4,4,4,5,5,3,1,9,14,9,5,18
60,39,595348.5,3516535.5,2023,0,0,0,1,6,3,0,9,8,5,5,3,1,9,14,9,5,18
86,84,595483.5,3516457.5,2023,0,0,0,1,6,3,0,9,8,5,5,3,1,9,14,9,5,18
89,100,595531.5,3516448.5,2023,0,0,0,1,6,3,0,4,4,5,5,3,1,9,14,9,5,18
61,120,595591.5,3516532.5,2023,0,0,0,1,6,3,0,9,8,5,5,3,1,9,14,9,5,18
87,177,595762.5,3516454.5,2023,0,0,0,2,4,1,4,4,4,9,8,6,12,12,16,9,5,18
79,200,595831.5,3516478.5,2023,0,0,0,1,6,1,4,4,4,5,5,3,12,9,14,9,5,18
63,237,595942.5,3516526.5,2023,0,0,0,1,6,3,0,9,8,5,5,3,1,9,14,9,5,18
60,259,596008.5,3516535.5,2023,0,0,0,1,6,3,0,9,8,5,5,3,1,9,14,9,5,18
88,294,596113.5,3516451.5,2023,0,0,4,2,4,1,3,6,2,7,1,6,9,12,6,9,5,18
88,304,596143.5,3516451.5,2023,0,0,0,1,6,3,0,9,4,5,5,3,1,9,14,9,5,18
68,353,596290.5,3516511.5,2023,0,0,4,2,4,1,4,4,7,9,4,6,12,12,16,8,6,12
87,365,596326.5,3516454.5,2023,0,0,0,1,6,3,0,9,8,5,5,3,1,9,14,9,5,18
70,393,596410.5,3516505.5,2023,0,0,0,1,6,3,0,9,8,5,5,3,1,9,14,9,5,18
61,440,596551.5,3516532.5,2023,0,0,0,1,6,1,4,4,4,5,5,3,1,9,14,9,5,18
